6734:  51.116611:-114.206109:40,831
6735:  51.073027:-114.056497:4
8312:  50.931731:-114.026231:28,713
8313:  50.935803:-114.028946:29,715
6738:  51.113761:-114.209582:137,40,725,831
6739:  51.095466:-114.211084:1,40,724,721
8318:  50.932766:-113.983476:96,92,860,711,825
8319:  50.934136:-113.982903:96,92,860,711,825
9928:  50.988044:-114.095670:20
9920:  51.034641:-113.958498:176
9921:  51.047196:-114.073861:3,17
9922:  50.963104:-114.001943:102,103,117,133
9925:  50.989569:-114.096230:20
9926:  50.992008:-114.098444:20
9927:  50.991604:-114.097029:20
6088:  51.103155:-114.165404:143,137,10
6089:  50.901266:-114.055002:12,78
6086:  51.103274:-114.178512:122
6087:  51.104545:-114.170420:122
6084:  51.103413:-114.198505:137,725,831
6085:  51.103417:-114.188176:143,832
6082:  51.109924:-114.199926:137,831
6083:  51.108322:-114.196894:137,725,831
6080:  51.099032:-113.933773:21,757
6081:  51.109406:-114.209116:137,831
3648:  50.959531:-114.013682:136
3647:  51.154293:-114.196876:157
3646:  51.154255:-114.190724:157
3645:  51.040765:-114.136517:412,93
3644:  50.954384:-113.958151:409,176
3643:  50.958049:-113.958149:409,176
3642:  50.971989:-113.958537:409,176
3641:  51.134439:-114.235681:201
3640:  51.134510:-114.235512:201
5010:  51.052564:-114.115979:1
5011:  51.053469:-114.123501:1,20
5012:  51.055764:-114.129396:40,20
5013:  51.064267:-114.130996:40,20
5014:  51.058288:-114.137318:1,40
5015:  51.056897:-114.134535:1,40
5016:  51.055661:-114.130313:1,40
5017:  51.068214:-114.154450:1,40
5018:  51.069386:-114.156048:1
5019:  51.140333:-114.106463:46,792,89
7792:  51.046575:-114.066951:30
4419:  51.001681:-114.040176:73,66
4418:  51.151315:-114.106076:420,8,425
4417:  51.147555:-114.076423:430,425,842,841,888
4416:  51.016008:-114.053994:30
4415:  51.016024:-114.055348:30
4414:  51.168295:-114.092566:421,738
4413:  51.154062:-114.051883:430
4412:  51.076833:-113.952376:34
4411:  51.077522:-113.949461:34
4410:  51.077527:-113.941065:34
9548:  51.137453:-113.936645:159,741
